variant,period,cost,total_contrib,final_value,profit,MWRR,MDD,ann_vol,sharpe_approx,end_cash,n_trades,vs_imm_pct
immediate_QLD,full,0.0,55800.0,1097738.41,1041938.41,0.334943,0.631838,0.519694,0.6445,69.36,196,0.0
immediate_QLD,full,0.0005,55800.0,1097202.61,1041402.61,0.33489,0.631842,0.519696,0.6444,23.11,194,
daily_QLD,full,0.0,55800.0,1089301.47,1033501.47,0.334102,0.6314,0.521948,0.6401,52.68,2983,-0.77
daily_QLD,full,0.0005,55800.0,1088514.18,1032714.18,0.334024,0.631417,0.522079,0.6398,48.67,2980,
rule_v1_QLD,full,0.0,55800.0,950134.71,894334.71,0.319238,0.638586,0.511618,0.624,211.85,2024,-13.45
rule_v1_QLD,full,0.0005,55800.0,956826.73,901026.73,0.320001,0.638837,0.511913,0.6251,245.99,2017,
v3_regime,full,0.0,55800.0,532221.55,476421.55,0.256502,0.441059,0.466627,0.5497,30.39,431,-51.52
v3_regime,full,0.0005,55800.0,473857.02,418057.02,0.243946,0.442485,0.46696,0.5224,-159.4,434,
v3_dualmom,full,0.0,55800.0,500700.71,444900.71,0.249903,0.717221,0.589133,0.4242,83.02,190,-54.39
v3_dualmom,full,0.0005,55800.0,489274.0,433474.0,0.247407,0.718917,0.589156,0.4199,9.5,190,
P1_regime_basket,full,0.0,55800.0,299165.45,243365.45,0.194078,0.643996,0.476255,0.4075,45.81,716,-72.75
P1_regime_basket,full,0.0005,55800.0,294038.41,238238.41,0.192194,0.645772,0.476275,0.4035,105.3,725,
P2_xsec_mom,full,0.0,55800.0,802221.5,746421.5,0.300883,0.64693,0.520922,0.5776,50.42,619,-26.92
P2_xsec_mom,full,0.0005,55800.0,774116.5,718316.5,0.297021,0.649365,0.521004,0.5701,-174.18,615,
P3_static_lev,full,0.0,55800.0,886643.58,830843.58,0.311731,0.613109,0.490302,0.6358,309.72,692,-19.23
P3_static_lev,full,0.0005,55800.0,884182.21,828382.21,0.31143,0.613183,0.490299,0.6352,208.09,693,
WIN_static_TQQQ60UPRO40,full,0.0,55800.0,1702335.62,1646535.62,0.382973,0.739784,0.6433,0.5953,62.07,371,55.08
WIN_static_TQQQ60UPRO40,full,0.0005,55800.0,1698418.71,1642618.71,0.382719,0.739831,0.643314,0.5949,36.43,371,
WIN_imm_TQQQ100,full,0.0,55800.0,2552234.02,2496434.02,0.427852,0.815132,0.688893,0.6211,3.68,198,132.5
WIN_imm_TQQQ100,full,0.0005,55800.0,2550998.8,2495198.8,0.427798,0.815131,0.688899,0.621,11.51,195,
MIX_TQQQ50UPRO30TLT20,full,0.0,55800.0,1090655.99,1034855.99,0.334238,0.677325,0.53606,0.6235,0.34,538,-0.65
MIX_TQQQ50UPRO30TLT20,full,0.0005,55800.0,1086666.82,1030866.82,0.333839,0.67744,0.536042,0.6228,10.03,536,
SOXL_imm_SOXL100,full,0.0,55800.0,7997902.68,7942102.68,0.558304,0.904086,0.952587,0.5861,154.0,210,628.58
SOXL_imm_SOXL100,full,0.0005,55800.0,7993990.14,7938190.14,0.558247,0.904086,0.952594,0.586,151.52,206,
SOXL_TQQQ50SOXL50,full,0.0,55800.0,6243989.79,6188189.79,0.529474,0.853309,0.793593,0.6672,21.91,372,468.8
